"msa","name_msa","fipstate","fipscty","name_county"
"10180","Abilene, TX","48","059","Callahan County, Texas"
"10420","Akron, OH","39","133","Portage County, Ohio"
"10500","Albany, GA","13","321","Worth County, Georgia"
"10540","Albany, OR","41","043","Linn County, Oregon"
"10580","Albany-Schenectady-Troy, NY","36","001","Albany County, New York"
"10740","Albuquerque, NM","35","061","Valencia County, New Mexico"
"10780","Alexandria, LA","22","079","Rapides Parish, Louisiana"
"10900","Allentown-Bethlehem-Easton, PA-NJ","42","095","Northampton County, Pennsylvania"
"11020","Altoona, PA","42","013","Blair County, Pennsylvania"
"11100","Amarillo, TX","48","375","Potter County, Texas"
"11180","Ames, IA","19","169","Story County, Iowa"
"11260","Anchorage, AK","02","020","Anchorage Municipality, Alaska"
"11460","Ann Arbor, MI","26","161","Washtenaw County, Michigan"
"11500","Anniston-Oxford, AL","01","015","Calhoun County, Alabama"
"11540","Appleton, WI","55","015","Calumet County, Wisconsin"
"11700","Asheville, NC","37","115","Madison County, North Carolina"
"12020","Athens-Clarke County, GA","13","221","Oglethorpe County, Georgia"
"12060","Atlanta-Sandy Springs-Alpharetta, GA","13","297","Walton County, Georgia"
"12100","Atlantic City-Hammonton, NJ","34","001","Atlantic County, New Jersey"
"12220","Auburn-Opelika, AL","01","081","Lee County, Alabama"
"12260","Augusta-Richmond County, GA-SC","13","033","Burke County, Georgia"
"12420","Austin-Round Rock-Georgetown, TX","48","491","Williamson County, Texas"
"12540","Bakersfield, CA","06","029","Kern County, California"
"12580","Baltimore-Columbia-Towson, MD","24","510","Baltimore city, Maryland"
"12620","Bangor, ME","23","019","Penobscot County, Maine"
"12700","Barnstable Town, MA","25","001","Barnstable County, Massachusetts"
"12940","Baton Rouge, LA","22","125","West Feliciana Parish, Louisiana"
"12980","Battle Creek, MI","26","025","Calhoun County, Michigan"
"13020","Bay City, MI","26","017","Bay County, Michigan"
"13140","Beaumont-Port Arthur, TX","48","245","Jefferson County, Texas"
"13220","Beckley, WV","54","081","Raleigh County, West Virginia"
"13380","Bellingham, WA","53","073","Whatcom County, Washington"
"13460","Bend, OR","41","017","Deschutes County, Oregon"
"13740","Billings, MT","30","111","Yellowstone County, Montana"
"13780","Binghamton, NY","36","107","Tioga County, New York"
"13820","Birmingham-Hoover, AL","01","127","Walker County, Alabama"
"13900","Bismarck, ND","38","015","Burleigh County, North Dakota"
"13980","Blacksburg-Christiansburg, VA","51","750","Radford city, Virginia"
"14010","Bloomington, IL","17","039","De Witt County, Illinois"
"14020","Bloomington, IN","18","119","Owen County, Indiana"
"14100","Bloomsburg-Berwick, PA","42","037","Columbia County, Pennsylvania"
"14260","Boise City, ID","16","015","Boise County, Idaho"
"14460","Boston-Cambridge-Newton, MA-NH","33","017","Strafford County, New Hampshire"
"14500","Boulder, CO","08","013","Boulder County, Colorado"
"14540","Bowling Green, KY","21","031","Butler County, Kentucky"
"14740","Bremerton-Silverdale-Port Orchard, WA ","53","035","Kitsap County, Washington"
"14860","Bridgeport-Stamford-Norwalk, CT","09","001","Fairfield County, Connecticut"
"15180","Brownsville-Harlingen, TX","48","061","Cameron County, Texas"
"15260","Brunswick, GA","13","191","McIntosh County, Georgia"
"15380","Buffalo-Cheektowaga, NY","36","029","Erie County, New York"
"15500","Burlington, NC","37","001","Alamance County, North Carolina"
"15540","Burlington-South Burlington, VT","50","007","Chittenden County, Vermont"
"15680","California-Lexington Park, MD","24","037","St. Mary's County, Maryland"
"15940","Canton-Massillon, OH","39","151","Stark County, Ohio"
"15980","Cape Coral-Fort Myers, FL","12","071","Lee County, Florida"
"16020","Cape Girardeau, MO-IL","29","031","Cape Girardeau County, Missouri"
"16060","Carbondale-Marion, IL","17","077","Jackson County, Illinois"
"16180","Carson City, NV","32","510","Carson City, Nevada"
"16220","Casper, WY","56","025","Natrona County, Wyoming"
"16300","Cedar Rapids, IA","19","011","Benton County, Iowa"
"16540","Chambersburg-Waynesboro, PA","42","055","Franklin County, Pennsylvania"
"16580","Champaign-Urbana, IL","17","147","Piatt County, Illinois"
"16620","Charleston, WV","54","005","Boone County, West Virginia"
"16700","Charleston-North Charleston, SC","45","015","Berkeley County, South Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC","37","109","Lincoln County, North Carolina"
"16820","Charlottesville, VA","51","003","Albemarle County, Virginia"
"16860","Chattanooga, TN-GA","47","153","Sequatchie County, Tennessee"
"16940","Cheyenne, WY","56","021","Laramie County, Wyoming"
"16980","Chicago-Naperville-Elgin, IL-IN-WI","18","089","Lake County, Indiana"
"17020","Chico, CA","06","007","Butte County, California"
"17140","Cincinnati, OH-KY-IN","39","165","Warren County, Ohio"
"17300","Clarksville, TN-KY","21","047","Christian County, Kentucky"
"17420","Cleveland, TN","47","139","Polk County, Tennessee"
"17460","Cleveland-Elyria, OH","39","085","Lake County, Ohio"
"17660","Coeur d'Alene, ID","16","055","Kootenai County, Idaho"
"17780","College Station-Bryan, TX","48","395","Robertson County, Texas"
"17820","Colorado Springs, CO","08","041","El Paso County, Colorado"
"17860","Columbia, MO","29","019","Boone County, Missouri"
"17900","Columbia, SC","45","081","Saluda County, South Carolina"
"17980","Columbus, GA-AL","13","215","Muscogee County, Georgia"
"18020","Columbus, IN","18","005","Bartholomew County, Indiana"
"18140","Columbus, OH","39","097","Madison County, Ohio"
"18580","Corpus Christi, TX","48","409","San Patricio County, Texas"
"18700","Corvallis, OR","41","003","Benton County, Oregon"
"18880","Crestview-Fort Walton Beach-Destin, FL","12","131","Walton County, Florida"
"19060","Cumberland, MD-WV","54","057","Mineral County, West Virginia"
"19100","Dallas-Fort Worth-Arlington, TX","48","497","Wise County, Texas"
"19140","Dalton, GA","13","313","Whitfield County, Georgia"
"19180","Danville, IL","17","183","Vermilion County, Illinois"
"19300","Daphne-Fairhope-Foley, AL","01","003","Baldwin County, Alabama"
"19340","Davenport-Moline-Rock Island, IA-IL","19","163","Scott County, Iowa"
"19380","Dayton-Kettering, OH","39","057","Greene County, Ohio"
"19460","Decatur, AL","01","103","Morgan County, Alabama"
"19500","Decatur, IL","17","115","Macon County, Illinois"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","12","127","Volusia County, Florida"
"19740","Denver-Aurora-Lakewood, CO","08","001","Adams County, Colorado"
"19780","Des Moines-West Des Moines, IA","19","049","Dallas County, Iowa"
"19820","Detroit-Warren-Dearborn, MI","26","163","Wayne County, Michigan"
"20020","Dothan, AL","01","061","Geneva County, Alabama"
"20100","Dover, DE","10","001","Kent County, Delaware"
"20220","Dubuque, IA","19","061","Dubuque County, Iowa"
"20260","Duluth, MN-WI","27","017","Carlton County, Minnesota"
"20500","Durham-Chapel Hill, NC","37","145","Person County, North Carolina"
"20700","East Stroudsburg, PA","42","089","Monroe County, Pennsylvania"
"20740","Eau Claire, WI","55","035","Eau Claire County, Wisconsin"
"20940","El Centro, CA","06","025","Imperial County, California"
"21060","Elizabethtown-Fort Knox, KY","21","163","Meade County, Kentucky"
"21140","Elkhart-Goshen, IN","18","039","Elkhart County, Indiana"
"21300","Elmira, NY","36","015","Chemung County, New York"
"21340","El Paso, TX","48","141","El Paso County, Texas"
"21420","Enid, OK","40","047","Garfield County, Oklahoma"
"21500","Erie, PA","42","049","Erie County, Pennsylvania"
"21660","Eugene-Springfield, OR","41","039","Lane County, Oregon"
"21780","Evansville, IN-KY","21","101","Henderson County, Kentucky"
"21820","Fairbanks, AK","02","090","Fairbanks North Star Borough, Alaska"
"22020","Fargo, ND-MN","27","027","Clay County, Minnesota"
"22140","Farmington, NM","35","045","San Juan County, New Mexico"
"22180","Fayetteville, NC","37","093","Hoke County, North Carolina"
"22220","Fayetteville-Springdale-Rogers, AR-MO","05","007","Benton County, Arkansas"
"22380","Flagstaff, AZ","04","005","Coconino County, Arizona"
"22420","Flint, MI","26","049","Genesee County, Michigan"
"22500","Florence, SC","45","031","Darlington County, South Carolina"
"22520","Florence-Muscle Shoals, AL","01","077","Lauderdale County, Alabama"
"22540","Fond du Lac, WI","55","039","Fond du Lac County, Wisconsin"
"22660","Fort Collins, CO","08","069","Larimer County, Colorado"
"22900","Fort Smith, AR-OK","40","079","Le Flore County, Oklahoma"
"23060","Fort Wayne, IN","18","183","Whitley County, Indiana"
"23420","Fresno, CA","06","019","Fresno County, California"
"23460","Gadsden, AL","01","055","Etowah County, Alabama"
"23540","Gainesville, FL","12","041","Gilchrist County, Florida"
"23580","Gainesville, GA","13","139","Hall County, Georgia"
"23900","Gettysburg, PA","42","001","Adams County, Pennsylvania"
"24020","Glens Falls, NY","36","113","Warren County, New York"
"24140","Goldsboro, NC","37","191","Wayne County, North Carolina"
"24220","Grand Forks, ND-MN","38","035","Grand Forks County, North Dakota"
"24260","Grand Island, NE","31","121","Merrick County, Nebraska"
"24300","Grand Junction, CO","08","077","Mesa County, Colorado"
"24340","Grand Rapids-Kentwood, MI","26","139","Ottawa County, Michigan"
"24420","Grants Pass, OR","41","033","Josephine County, Oregon"
"24500","Great Falls, MT","30","013","Cascade County, Montana"
"24540","Greeley, CO","08","123","Weld County, Colorado"
"24580","Green Bay, WI","55","009","Brown County, Wisconsin"
"24660","Greensboro-High Point, NC","37","081","Guilford County, North Carolina"
"24780","Greenville, NC","37","147","Pitt County, North Carolina"
"24860","Greenville-Anderson, SC","45","077","Pickens County, South Carolina"
"25060","Gulfport-Biloxi, MS ","28","045","Hancock County, Mississippi"
"25180","Hagerstown-Martinsburg, MD-WV","24","043","Washington County, Maryland"
"25220","Hammond, LA","22","105","Tangipahoa Parish, Louisiana"
"25260","Hanford-Corcoran, CA","06","031","Kings County, California"
"25420","Harrisburg-Carlisle, PA","42","041","Cumberland County, Pennsylvania"
"25500","Harrisonburg, VA","51","165","Rockingham County, Virginia"
"25540","Hartford-East Hartford-Middletown, CT","09","013","Tolland County, Connecticut"
"25620","Hattiesburg, MS","28","035","Forrest County, Mississippi"
"25860","Hickory-Lenoir-Morganton, NC","37","035","Catawba County, North Carolina"
"25940","Hilton Head Island-Bluffton, SC","45","053","Jasper County, South Carolina"
"25980","Hinesville, GA","13","179","Liberty County, Georgia"
"26140","Homosassa Springs, FL","12","017","Citrus County, Florida"
"26300","Hot Springs, AR","05","051","Garland County, Arkansas"
"26380","Houma-Thibodaux, LA","22","109","Terrebonne Parish, Louisiana"
"26420","Houston-The Woodlands-Sugar Land, TX","48","015","Austin County, Texas"
"26580","Huntington-Ashland, WV-KY-OH","54","099","Wayne County, West Virginia"
"26620","Huntsville, AL","01","083","Limestone County, Alabama"
"26820","Idaho Falls, ID","16","051","Jefferson County, Idaho"
"26900","Indianapolis-Carmel-Anderson, IN","18","011","Boone County, Indiana"
"26980","Iowa City, IA","19","183","Washington County, Iowa"
"27060","Ithaca, NY","36","109","Tompkins County, New York"
"27100","Jackson, MI","26","075","Jackson County, Michigan"
"27140","Jackson, MS","28","127","Simpson County, Mississippi"
"27180","Jackson, TN","47","023","Chester County, Tennessee"
"27260","Jacksonville, FL","12","109","St. Johns County, Florida"
"27340","Jacksonville, NC","37","133","Onslow County, North Carolina"
"27500","Janesville-Beloit, WI","55","105","Rock County, Wisconsin"
"27620","Jefferson City, MO","29","151","Osage County, Missouri"
"27740","Johnson City, TN","47","179","Washington County, Tennessee"
"27780","Johnstown, PA","42","021","Cambria County, Pennsylvania"
"27860","Jonesboro, AR","05","111","Poinsett County, Arkansas"
"27900","Joplin, MO","29","097","Jasper County, Missouri"
"27980","Kahului-Wailuku-Lahaina, HI","15","009","Maui County, Hawaii"
"28020","Kalamazoo-Portage, MI","26","077","Kalamazoo County, Michigan"
"28100","Kankakee, IL","17","091","Kankakee County, Illinois"
"28140","Kansas City, MO-KS","29","165","Platte County, Missouri"
"28420","Kennewick-Richland, WA","53","005","Benton County, Washington"
"28660","Killeen-Temple, TX","48","027","Bell County, Texas"
"28700","Kingsport-Bristol, TN-VA","51","520","Bristol city, Virginia"
"28740","Kingston, NY","36","111","Ulster County, New York"
"28940","Knoxville, TN","47","173","Union County, Tennessee"
"29020","Kokomo, IN","18","067","Howard County, Indiana"
"29100","La Crosse-Onalaska, WI-MN","55","063","La Crosse County, Wisconsin"
"29180","Lafayette, LA","22","001","Acadia Parish, Louisiana"
"29200","Lafayette-West Lafayette, IN","18","007","Benton County, Indiana"
"29340","Lake Charles, LA","22","023","Cameron Parish, Louisiana"
"29420","Lake Havasu City-Kingman, AZ","04","015","Mohave County, Arizona"
"29460","Lakeland-Winter Haven, FL","12","105","Polk County, Florida"
"29540","Lancaster, PA","42","071","Lancaster County, Pennsylvania"
"29620","Lansing-East Lansing, MI","26","065","Ingham County, Michigan"
"29700","Laredo, TX","48","479","Webb County, Texas"
"29740","Las Cruces, NM","35","013","Do±a Ana County, New Mexico"
"29820","Las Vegas-Henderson-Paradise, NV","32","003","Clark County, Nevada"
"29940","Lawrence, KS","20","045","Douglas County, Kansas"
"30020","Lawton, OK","40","033","Cotton County, Oklahoma"
"30140","Lebanon, PA","42","075","Lebanon County, Pennsylvania"
"30300","Lewiston, ID-WA","53","003","Asotin County, Washington"
"30340","Lewiston-Auburn, ME","23","001","Androscoggin County, Maine"
"30460","Lexington-Fayette, KY","21","017","Bourbon County, Kentucky"
"30620","Lima, OH","39","003","Allen County, Ohio"
"30700","Lincoln, NE","31","159","Seward County, Nebraska"
"30780","Little Rock-North Little Rock-Conway, AR","05","045","Faulkner County, Arkansas"
"30860","Logan, UT-ID","49","005","Cache County, Utah"
"30980","Longview, TX","48","459","Upshur County, Texas"
"31020","Longview, WA","53","015","Cowlitz County, Washington"
"31060","Los Alamos, NM Micro Area","35","028","Los Alamos County, New Mexico"
"31080","Los Angeles-Long Beach-Anaheim, CA","06","037","Los Angeles County, California"
"31140","Louisville/Jefferson County, KY-IN","21","223","Trimble County, Kentucky"
"31180","Lubbock, TX","48","107","Crosby County, Texas"
"31340","Lynchburg, VA","51","680","Lynchburg city, Virginia"
"31420","Macon-Bibb County, GA","13","289","Twiggs County, Georgia"
"31460","Madera, CA","06","039","Madera County, California"
"31540","Madison, WI","55","045","Green County, Wisconsin"
"31700","Manchester-Nashua, NH","33","011","Hillsborough County, New Hampshire"
"31740","Manhattan, KS","20","149","Pottawatomie County, Kansas"
"31860","Mankato, MN","27","103","Nicollet County, Minnesota"
"31900","Mansfield, OH","39","139","Richland County, Ohio"
"32580","McAllen-Edinburg-Mission, TX","48","215","Hidalgo County, Texas"
"32780","Medford, OR","41","029","Jackson County, Oregon"
"32820","Memphis, TN-MS-AR","05","035","Crittenden County, Arkansas"
"32900","Merced, CA","06","047","Merced County, California"
"33100","Miami-Fort Lauderdale-Pompano Beach, FL","12","011","Broward County, Florida"
"33140","Michigan City-La Porte, IN","18","091","LaPorte County, Indiana"
"33220","Midland, MI","26","111","Midland County, Michigan"
"33260","Midland, TX","48","317","Martin County, Texas"
"33340","Milwaukee-Waukesha, WI","55","079","Milwaukee County, Wisconsin"
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","003","Anoka County, Minnesota"
"33540","Missoula, MT","30","063","Missoula County, Montana"
"33660","Mobile, AL","01","097","Mobile County, Alabama"
"33700","Modesto, CA","06","099","Stanislaus County, California"
"33740","Monroe, LA","22","111","Union Parish, Louisiana"
"33780","Monroe, MI","26","115","Monroe County, Michigan"
"33860","Montgomery, AL","01","001","Autauga County, Alabama"
"34060","Morgantown, WV","54","077","Preston County, West Virginia"
"34100","Morristown, TN","47","063","Hamblen County, Tennessee"
"34580","Mount Vernon-Anacortes, WA","53","057","Skagit County, Washington"
"34620","Muncie, IN","18","035","Delaware County, Indiana"
"34740","Muskegon, MI","26","121","Muskegon County, Michigan"
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","37","019","Brunswick County, North Carolina"
"34900","Napa, CA","06","055","Napa County, California"
"34940","Naples-Marco Island, FL","12","021","Collier County, Florida"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","47","015","Cannon County, Tennessee"
"35100","New Bern, NC","37","049","Craven County, North Carolina"
"35300","New Haven-Milford, CT","09","009","New Haven County, Connecticut"
"35380","New Orleans-Metairie, LA","22","103","St. Tammany Parish, Louisiana"
"35620","New York-Newark-Jersey City, NY-NJ-PA","42","103","Pike County, Pennsylvania"
"35660","Niles, MI","26","021","Berrien County, Michigan"
"35840","North Port-Sarasota-Bradenton, FL","12","081","Manatee County, Florida"
"35980","Norwich-New London, CT","09","011","New London County, Connecticut"
"36100","Ocala, FL","12","083","Marion County, Florida"
"36140","Ocean City, NJ","34","009","Cape May County, New Jersey"
"36220","Odessa, TX","48","135","Ector County, Texas"
"36260","Ogden-Clearfield, UT","49","003","Box Elder County, Utah"
